% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	5.73058e-14	120.811
0.000214285	2	2	0	5.28329e-14	111.382
0.00121429	1	1	0	5.73058e-14	120.811
0.00121429	2	2	0	5.28329e-14	111.382
0.00221428	1	1	0	5.73058e-14	120.811
0.00221428	2	2	0	5.28329e-14	111.382
0.00321428	1	1	0	5.73058e-14	120.811
0.00321428	2	2	0	5.28329e-14	111.382
0.00421428	1	1	0	5.73058e-14	120.811
0.00421428	2	2	0	5.28329e-14	111.382
0.00521428	1	1	0	5.73058e-14	120.811
0.00521428	2	2	0	5.28329e-14	111.382
0.00621428	1	1	0	5.73058e-14	120.811
0.00621428	2	2	0	5.28329e-14	111.382
0.00721428	1	1	0	5.73058e-14	120.811
0.00721428	2	2	0	5.28329e-14	111.382
0.00821428	1	1	0	5.73058e-14	120.811
0.00821428	2	2	0	5.28329e-14	111.382
0.00921428	1	1	0	5.73058e-14	120.811
0.00921428	2	2	0	5.28329e-14	111.382
0.0102143	1	1	0	5.73058e-14	120.811
0.0102143	2	2	0	5.28329e-14	111.382
0.0112143	1	1	0	5.73058e-14	120.811
0.0112143	2	2	0	5.28329e-14	111.382
0.0122143	1	1	0	5.73058e-14	120.811
0.0122143	2	2	0	5.28329e-14	111.382
0.0132143	1	1	0	5.73058e-14	120.811
0.0132143	2	2	0	5.28329e-14	111.382
0.0142143	1	1	0	5.73058e-14	120.811
0.0142143	2	2	0	5.28329e-14	111.382
0.0152143	1	1	0	5.73058e-14	120.811
0.0152143	2	2	0	5.28329e-14	111.382
0.0162143	1	1	0	5.73058e-14	120.811
0.0162143	2	2	0	5.28329e-14	111.382
0.0172143	1	1	0	5.73058e-14	120.811
0.0172143	2	2	0	5.28329e-14	111.382
0.0182143	1	1	0	5.73058e-14	120.811
0.0182143	2	2	0	5.28329e-14	111.382
0.0192143	1	1	0	5.73058e-14	120.811
0.0192143	2	2	0	5.28329e-14	111.382
0.0202143	1	1	0	5.73058e-14	120.811
0.0202143	2	2	0	5.28329e-14	111.382
0.0212143	1	1	0	5.73058e-14	120.811
0.0212143	2	2	1	5.28329e-14	111.382
0.0222143	1	1	0	5.73058e-14	120.811
0.0222143	2	2	1	5.28329e-14	111.382
0.0232143	1	1	0	5.73058e-14	120.811
0.0232143	2	2	1	5.28329e-14	111.382
0.0242143	1	1	0	5.73058e-14	120.811
0.0242143	2	2	1	5.28329e-14	111.382
0.0252143	1	1	0	5.73058e-14	120.811
0.0252143	2	2	1	5.28329e-14	111.382
0.0262143	1	1	0	5.73058e-14	120.811
0.0262143	2	2	1	5.28329e-14	111.382
0.0272143	1	1	0	5.73058e-14	120.811
0.0272143	2	2	1	5.28329e-14	111.382
0.0282143	1	1	0	5.73058e-14	120.811
0.0282143	2	2	1	5.28329e-14	111.382
0.0292143	1	1	0	5.73058e-14	120.811
0.0292143	2	2	1	5.28329e-14	111.382
0.0302143	1	1	0	5.73058e-14	120.811
0.0302143	2	2	1	5.28329e-14	111.382
0.0312143	1	1	0	5.73058e-14	120.811
0.0312143	2	2	1	5.28329e-14	111.382
0.0322143	1	1	0	5.73058e-14	120.811
0.0322143	2	2	1	5.28329e-14	111.382
0.0332143	1	1	0	5.73058e-14	120.811
0.0332143	2	2	1	5.28329e-14	111.382
0.0342143	1	1	0	5.73058e-14	120.811
0.0342143	2	2	1	5.28329e-14	111.382
0.0352143	1	1	0	5.73058e-14	120.811
0.0352143	2	2	1	5.28329e-14	111.382
0.0362143	1	1	0	5.73058e-14	120.811
0.0362143	2	2	1	5.28329e-14	111.382
0.0372143	1	1	0	5.73058e-14	120.811
0.0372143	2	2	1	5.28329e-14	111.382
0.0382143	1	1	0	5.73058e-14	120.811
0.0382143	2	2	1	5.28329e-14	111.382
0.0392143	1	1	0	5.73058e-14	120.811
0.0392143	2	2	1	5.28329e-14	111.382
0.0402143	1	1	0	5.73058e-14	120.811
0.0402143	2	2	1	5.28329e-14	111.382
0.0412143	1	1	0	5.73058e-14	120.811
0.0412143	2	2	1	5.28329e-14	111.382
0.0422143	1	1	0	5.73058e-14	120.811
0.0422143	2	2	1	5.28329e-14	111.382
0.0432143	1	1	0	5.73058e-14	120.811
0.0432143	2	2	1	5.28329e-14	111.382
0.0442143	1	1	0	5.73058e-14	120.811
0.0442143	2	2	1	5.28329e-14	111.382
0.0452143	1	1	0	5.73058e-14	120.811
0.0452143	2	2	1	5.28329e-14	111.382
0.0462143	1	1	0	5.73058e-14	120.811
0.0462143	2	2	1	5.28329e-14	111.382
0.0472143	1	1	0	5.73058e-14	120.811
0.0472143	2	2	1	5.28329e-14	111.382
0.0482143	1	1	0	5.73058e-14	120.811
0.0482143	2	2	1	5.28329e-14	111.382
0.0492143	1	1	0	5.73058e-14	120.811
0.0492143	2	2	1	5.28329e-14	111.382
0.0502143	1	1	0	5.73058e-14	120.811
0.0502143	2	2	1	5.28329e-14	111.382
0.0512143	1	1	0	5.73058e-14	120.811
0.0512143	2	2	1	5.28329e-14	111.382
0.0522143	1	1	0	5.73058e-14	120.811
0.0522143	2	2	1	5.28329e-14	111.382
0.0532143	1	1	0	5.73058e-14	120.811
0.0532143	2	2	1	5.28329e-14	111.382
0.0542143	1	1	0	5.73058e-14	120.811
0.0542143	2	2	1	5.28329e-14	111.382
0.0552143	1	1	0	5.73058e-14	120.811
0.0552143	2	2	1	5.28329e-14	111.382
0.0562143	1	1	0	5.73058e-14	120.811
0.0562143	2	2	1	5.28329e-14	111.382
0.0572143	1	1	0	5.73058e-14	120.811
